# Time-averaged data for fix printdipole
# TimeStep v_mytime v_totaldipolex v_totaldipoley v_totaldipolez
10324 2581.0000000000 0.1112469579 1.1871462873 -0.1093161583
10326 2581.5000000000 0.1227766760 1.2323871337 -0.0953009399
10328 2582.0000000000 0.1328316135 1.2500354600 -0.0859280912
10330 2582.5000000000 0.1678693403 1.2732146612 -0.0619225090
10332 2583.0000000000 0.1612991780 1.2956594663 -0.0534332920
10334 2583.5000000000 0.1622542738 1.2946441511 -0.0608229149
10336 2584.0000000000 0.1604409809 1.3301011657 -0.0599477910
10338 2584.5000000000 0.1648595959 1.3301948335 -0.0350647988
10340 2585.0000000000 0.1473393161 1.3249355891 -0.0408275938
10342 2585.5000000000 0.1476271606 1.3271660462 -0.0437475793
10344 2586.0000000000 0.1068232241 1.2923580702 -0.0416830444
10346 2586.5000000000 0.0872835523 1.2989562673 -0.0322392894
10348 2587.0000000000 0.0724162696 1.2848914976 -0.0192516369
10350 2587.5000000000 0.0544967376 1.2876567591 -0.0530203697
10352 2588.0000000000 0.0361365819 1.2818171701 -0.0081884307
10354 2588.5000000000 -0.0076624264 1.2585761253 -0.0447869798
10356 2589.0000000000 0.0072901775 1.2682076520 0.0259912545
10358 2589.5000000000 -0.0000128561 1.3026080272 0.0058582124
10360 2590.0000000000 -0.0127430927 1.2972988101 0.0253045246
10362 2590.5000000000 -0.0159406974 1.3191123248 0.0248078143
10364 2591.0000000000 0.0047543983 1.3358292553 0.0602169372
10366 2591.5000000000 0.0073420824 1.3448252954 0.0854672476
10368 2592.0000000000 0.0173963871 1.3859716660 0.1040606158
10370 2592.5000000000 0.0022850609 1.3892200029 0.0960586819
10372 2593.0000000000 0.0245062526 1.3902714696 0.1159908628
10374 2593.5000000000 0.0210789651 1.3890845400 0.1472699591
10376 2594.0000000000 0.0204749487 1.3713124351 0.1483763210
10378 2594.5000000000 0.0024759179 1.3729649070 0.1478254823
10380 2595.0000000000 -0.0053042439 1.3592572428 0.1504857506
10382 2595.5000000000 -0.0387413090 1.3356611940 0.1455718239
10384 2596.0000000000 -0.0188548967 1.2926893561 0.1563910742
10386 2596.5000000000 -0.0475006289 1.2989921278 0.1504815404
10388 2597.0000000000 -0.0826169772 1.2424107166 0.1349704275
10390 2597.5000000000 -0.0981750929 1.2587160680 0.1469090650
10392 2598.0000000000 -0.0899346255 1.2399870464 0.1313795695
10394 2598.5000000000 -0.0817860822 1.2307306460 0.1574699745
10396 2599.0000000000 -0.1021800208 1.2350211373 0.1296978031
10398 2599.5000000000 -0.0971549518 1.2184988058 0.1543981669
10400 2600.0000000000 -0.0789316406 1.2425199994 0.1638478015
10402 2600.5000000000 -0.0584635952 1.2533686886 0.1895770806
10404 2601.0000000000 -0.0452248231 1.2769229971 0.1757939713
10406 2601.5000000000 -0.0316876667 1.2624583803 0.2165812724
10408 2602.0000000000 -0.0009468001 1.2697466755 0.2044509044
10410 2602.5000000000 0.0063749402 1.2683669735 0.2656033492
10412 2603.0000000000 0.0223508536 1.2724287616 0.2474529925
10414 2603.5000000000 0.0358199504 1.3047610494 0.2717221209
10416 2604.0000000000 0.0304731838 1.2376234635 0.2714490879
10418 2604.5000000000 0.0293292767 1.2448523356 0.2871458544
10420 2605.0000000000 0.0508476740 1.2339909984 0.2898821563
10422 2605.5000000000 0.0244572696 1.2172626922 0.2859616556
10424 2606.0000000000 0.0124486345 1.2235454535 0.2595124028
10426 2606.5000000000 0.0011190395 1.1840018215 0.2652959894
10428 2607.0000000000 0.0166032537 1.1887768815 0.2680418982
10430 2607.5000000000 0.0071073878 1.1925952266 0.2575434081
10432 2608.0000000000 -0.0112626206 1.1782645521 0.2469288537
10434 2608.5000000000 -0.0136457690 1.1949402462 0.2299155083
10436 2609.0000000000 0.0188426009 1.1770078778 0.2486444517
10438 2609.5000000000 0.0210986412 1.1964587865 0.2388683876
10440 2610.0000000000 0.0313069161 1.1975310795 0.2564966546
10442 2610.5000000000 0.0463924384 1.1945919029 0.2576200200
10444 2611.0000000000 0.0650284306 1.1932439149 0.2826326895
10446 2611.5000000000 0.0857197061 1.1870819149 0.2779709461
10448 2612.0000000000 0.1086702111 1.1955729332 0.3138161756
10450 2612.5000000000 0.1168956742 1.1696865664 0.2994343972
10452 2613.0000000000 0.1208635547 1.1464715804 0.3131360855
10454 2613.5000000000 0.1303828940 1.1288689085 0.3206101908
10456 2614.0000000000 0.1388393905 1.1408578919 0.3217072183
10458 2614.5000000000 0.1536483629 1.1182700403 0.3092353755
10460 2615.0000000000 0.1145650652 1.0881948865 0.2900308697
10462 2615.5000000000 0.1400106854 1.0854392557 0.2686993355
10464 2616.0000000000 0.1365807768 1.0535478525 0.2601993354
10466 2616.5000000000 0.1336924164 1.0760565414 0.2187405405
10468 2617.0000000000 0.1208580956 1.0664097542 0.1854182198
10470 2617.5000000000 0.1543342184 1.0498442366 0.1804187456
10472 2618.0000000000 0.1628315203 1.0555065550 0.1461972734
10474 2618.5000000000 0.1858158609 1.0480715698 0.1436139776
10476 2619.0000000000 0.1972805973 1.0479734912 0.1193925573
10478 2619.5000000000 0.2245283977 1.0558917970 0.1134141721
10480 2620.0000000000 0.2608491673 1.0242692059 0.1065110168
10482 2620.5000000000 0.2766757382 1.0351195120 0.1196237677
10484 2621.0000000000 0.3103843397 1.0356593228 0.1410081265
10486 2621.5000000000 0.3303753941 0.9980427766 0.1345081633
10488 2622.0000000000 0.3487089414 1.0202317258 0.1515207171
10490 2622.5000000000 0.3594754939 0.9939589976 0.1630329358
10492 2623.0000000000 0.3814878610 0.9937940359 0.1870782956
10494 2623.5000000000 0.3582687236 0.9955868544 0.1669434688
10496 2624.0000000000 0.3491014289 0.9700053895 0.1720621434
10498 2624.5000000000 0.3589627481 0.9880731360 0.1581556781
10500 2625.0000000000 0.3671571633 0.9845343948 0.1593594756
10502 2625.5000000000 0.3269932144 0.9943980575 0.1235021162
10504 2626.0000000000 0.3299735805 0.9980396890 0.1162447613
10506 2626.5000000000 0.3131256726 0.9826335403 0.0697037665
10508 2627.0000000000 0.3305215523 1.0060690688 0.0682278795
10510 2627.5000000000 0.3193412817 1.0268103635 0.0224256223
10512 2628.0000000000 0.3215374130 1.0240055343 0.0326362952
10514 2628.5000000000 0.3352970973 1.0282012313 -0.0074022409
10516 2629.0000000000 0.3392570302 1.0307638819 0.0038280889
10518 2629.5000000000 0.3660944424 1.0253931560 0.0052585332
10520 2630.0000000000 0.3659056861 1.0683204963 0.0260067526
10522 2630.5000000000 0.3653184196 1.0276121057 0.0128500676
10524 2631.0000000000 0.3590982019 1.0772009821 0.0464958287
10526 2631.5000000000 0.3917170714 1.0728701076 0.0602389386
10528 2632.0000000000 0.3715590694 1.0522373785 0.0931597783
10530 2632.5000000000 0.3714498076 1.0956918767 0.0789819357
10532 2633.0000000000 0.3242339005 1.0959323629 0.1157698326
10534 2633.5000000000 0.3462778492 1.1005611691 0.0873984617
10536 2634.0000000000 0.3169520164 1.1306371765 0.1187449795
10538 2634.5000000000 0.2884976010 1.1228599721 0.0682398631
10540 2635.0000000000 0.2715978344 1.1436975517 0.0808342005
10542 2635.5000000000 0.2649996769 1.1621110707 0.0284372410
10544 2636.0000000000 0.2493882954 1.1673855308 0.0227090617
10546 2636.5000000000 0.2458662623 1.1802738499 -0.0110933522
10548 2637.0000000000 0.2256443531 1.1903119626 -0.0366028215
10550 2637.5000000000 0.2329695563 1.1681370211 -0.0652436516
10552 2638.0000000000 0.2169341025 1.2043409799 -0.0739201215
10554 2638.5000000000 0.2670997609 1.2146276422 -0.0693935014
10556 2639.0000000000 0.2233979837 1.1916105156 -0.0747565888
10558 2639.5000000000 0.2445207025 1.2053501139 -0.0791815023
10560 2640.0000000000 0.2209441193 1.2258931716 -0.0575844537
10562 2640.5000000000 0.2505216876 1.1977826298 -0.0348494430
10564 2641.0000000000 0.2229548388 1.2373374310 -0.0106682152
10566 2641.5000000000 0.2039151804 1.2323455892 0.0070574817
10568 2642.0000000000 0.1937291120 1.2414129996 0.0345663591
10570 2642.5000000000 0.1815370297 1.2654043803 0.0504776085
10572 2643.0000000000 0.1517746658 1.2357890060 0.0753996875
10574 2643.5000000000 0.1333554788 1.2862108803 0.0789014108
10576 2644.0000000000 0.0868809094 1.2904331634 0.0849445961
10578 2644.5000000000 0.0921167098 1.2842249427 0.0638878781
10580 2645.0000000000 0.0516815870 1.3004785350 0.0999194939
10582 2645.5000000000 0.0484256465 1.3061596427 0.0502587519
10584 2646.0000000000 0.0251032912 1.2990941199 0.0810143243
10586 2646.5000000000 0.0001720407 1.3217635662 0.0264120862
10588 2647.0000000000 0.0107472747 1.3270516948 0.0612220579
10590 2647.5000000000 0.0013236482 1.3246636585 0.0513844107
10592 2648.0000000000 -0.0101223969 1.3046373327 0.0370728690
10594 2648.5000000000 -0.0178041395 1.3254398748 0.0574883255
10596 2649.0000000000 -0.0220661544 1.3337774261 0.0651077637
10598 2649.5000000000 -0.0082156705 1.3501425851 0.0991064857
10600 2650.0000000000 -0.0536874266 1.3058689098 0.1181580517
10602 2650.5000000000 -0.0485601557 1.3358928185 0.1396749707
10604 2651.0000000000 -0.0596605764 1.3423663504 0.1646713587
10606 2651.5000000000 -0.0745759154 1.3271881283 0.1917711666
10608 2652.0000000000 -0.0970805425 1.3400758402 0.2264702678
10610 2652.5000000000 -0.1115416011 1.3351442102 0.2469881127
10612 2653.0000000000 -0.1468407540 1.3199707172 0.2415874511
10614 2653.5000000000 -0.1257264492 1.3434680890 0.2586760387
10616 2654.0000000000 -0.1722876689 1.3022817549 0.2704571552
10618 2654.5000000000 -0.1621868913 1.3236571847 0.2626153357
10620 2655.0000000000 -0.2039211018 1.3067859928 0.2436631997
10622 2655.5000000000 -0.1701102735 1.2733947152 0.2401719890
10624 2656.0000000000 -0.1840201239 1.3123147143 0.2255928094
10626 2656.5000000000 -0.1585535356 1.2702813276 0.2257128635
10628 2657.0000000000 -0.1889949260 1.2376426858 0.2025884251
10630 2657.5000000000 -0.1604257512 1.2685885981 0.1887471701
10632 2658.0000000000 -0.1466258080 1.2457808836 0.1939932359
10634 2658.5000000000 -0.1173671827 1.2410864046 0.1855172491
10636 2659.0000000000 -0.1404041529 1.2152388423 0.1985459706
10638 2659.5000000000 -0.1042201572 1.1958040370 0.2082138191
10640 2660.0000000000 -0.1216366173 1.2309314997 0.2037402158
10642 2660.5000000000 -0.0870395326 1.2016444366 0.2252939481
10644 2661.0000000000 -0.1030761134 1.1723811803 0.2468914073
10646 2661.5000000000 -0.1106120693 1.2061149370 0.2545674509
10648 2662.0000000000 -0.0931284288 1.1600697729 0.2577118445
10650 2662.5000000000 -0.1176913727 1.1743914566 0.2682572752
10652 2663.0000000000 -0.0976382230 1.1734971575 0.2687246660
10654 2663.5000000000 -0.1207777984 1.1532981683 0.2541205705
10656 2664.0000000000 -0.1242384118 1.1488499341 0.2492428850
10658 2664.5000000000 -0.1018074444 1.1554899879 0.2244908525
10660 2665.0000000000 -0.1248337263 1.1374653958 0.2232010469
10662 2665.5000000000 -0.1035093215 1.1513078253 0.1710084270
10664 2666.0000000000 -0.1244007115 1.1224266567 0.1650968049
10666 2666.5000000000 -0.0792125912 1.1203613270 0.1138924951
10668 2667.0000000000 -0.0761561452 1.1563078971 0.1099253559
10670 2667.5000000000 -0.0560191889 1.1106094469 0.0817767806
10672 2668.0000000000 -0.0754230973 1.1146718795 0.0791787018
10674 2668.5000000000 -0.0501003544 1.1243158515 0.0491236115
10676 2669.0000000000 -0.0225140256 1.1093876679 0.0567875288
10678 2669.5000000000 -0.0100896981 1.1160865003 0.0372609238
10680 2670.0000000000 -0.0274484316 1.1112762832 0.0678080795
10682 2670.5000000000 -0.0052155100 1.0996272493 0.0500379263
10684 2671.0000000000 -0.0335858145 1.1132161226 0.0682068313
10686 2671.5000000000 0.0133392274 1.1177902092 0.0682271424
10688 2672.0000000000 -0.0203240986 1.1087382237 0.0709344429
10690 2672.5000000000 -0.0293091011 1.1362903434 0.0811939078
10692 2673.0000000000 -0.0279056285 1.1139207108 0.0616209397
10694 2673.5000000000 -0.0385261110 1.1460403388 0.0704092983
10696 2674.0000000000 -0.0263557987 1.1672288610 0.0240270995
10698 2674.5000000000 -0.0349626523 1.1485623407 0.0210013572
10700 2675.0000000000 -0.0512322113 1.1804659477 -0.0104700065
10702 2675.5000000000 -0.0270697888 1.1872713057 -0.0266121832
10704 2676.0000000000 -0.0269326414 1.1894445203 -0.0579728346
10706 2676.5000000000 -0.0175748979 1.2192329654 -0.0815899188
10708 2677.0000000000 -0.0163016895 1.2055009916 -0.1106930305
10710 2677.5000000000 -0.0025478157 1.2135038143 -0.1204475372
10712 2678.0000000000 0.0394963603 1.2150488862 -0.1368709104
10714 2678.5000000000 0.0235561001 1.2245757740 -0.1354978678
10716 2679.0000000000 0.0493979118 1.2264331208 -0.1624941036
10718 2679.5000000000 0.0429351149 1.2359294563 -0.1411728217
10720 2680.0000000000 0.0737113252 1.2268142649 -0.1408125734
10722 2680.5000000000 0.0749598843 1.2287793655 -0.1395084640
10724 2681.0000000000 0.0857742064 1.2675657278 -0.1097165106
10726 2681.5000000000 0.0612497650 1.2370970476 -0.1346762415
10728 2682.0000000000 0.0960512790 1.2855590852 -0.1194234089
10730 2682.5000000000 0.0663322855 1.3243169197 -0.1157690428
10732 2683.0000000000 0.0971847715 1.2810065638 -0.1256606313
